Table_14_Hate_Crime_Zero_Data_Submitted_per_Quarter_by_State_Federal_and_Agency_2019,,,,,
Alabama,Hoover,0,0,0,0
Alaska ,Bethel,0,0,0,0
,Craig,0,0,0,0
,Dillingham,0,0,0,0
,Juneau,0,0,0,
,Kenai,0,0,0,0
,Ketchikan,0,0,0,0
,Kodiak,0,0,0,0
,Nome,0,0,0,0
,Seward,0,0,0,0
,Sitka,0,0,0,0
,Skagway,0,0,0,0
,Unalaska,0,0,0,0
,Wasilla,0,0,0,0
,Wrangell,0,0,0,
, Anchorage,0,0,0,0
, Fairbanks,0,0,0,0
Arizona ,Avondale,0,0,0,0
,Bullhead City,0,0,0,0
,Camp Verde,0,0,0,0
,Chandler,0,0,0,0
,Chino Valley,0,0,0,0
,Clarkdale,0,0,0,0
,Clifton,0,0,0,0
,Douglas,0,0,0,0
,Eagar,0,0,0,0
,El Mirage,0,0,0,0
,Eloy,0,0,0,0
,Florence,0,0,0,0
,Globe,0,0,0,0
,Goodyear,0,0,0,0
,Hayden,0,0,0,0
,Holbrook,0,0,0,0
,Huachuca City,0,0,0,0
,Jerome,0,0,0,0
,Kearny,0,0,0,0
,Kingman,0,0,0,0
,Lake Havasu City,0,0,0,0
,Marana,0,0,0,0
,Miami,0,0,0,0
,Oro Valley,0,0,0,0
,Paradise Valley,0,0,0,0
,Payson,0,0,0,0
,Peoria,0,0,0,0
,Pima,0,0,0,0
,Pinetop-Lakeside,0,0,0,0
,Sahuarita,0,0,0,0
,Show Low,0,0,0,0
,Sierra Vista,0,0,0,0
,Snowflake-Taylor,0,0,0,0
,Springerville,0,0,0,0
,St. Johns,0,0,0,0
,Superior,0,0,0,0
,Thatcher,0,0,0,0
,Wellton,0,0,0,0
,Wickenburg,0,0,0,0
,Willcox,0,0,0,0
,Williams,0,0,0,0
,"Arizona State University, Main Campus",0,0,0,0
,Arizona Western College,0,0,0,0
,Central Arizona College,0,0,0,0
,Northern Arizona University,0,0,0,0
,Cochise,0,0,0,0
,Coconino,0,0,0,0
,Mohave,0,0,0,0
,Pinal,0,0,0,0
,Yuma,0,0,0,0
,Apache,0,0,0,0
,Gila,0,0,0,0
,Graham,0,0,0,0
,Navajo,0,0,0,0
,Santa Cruz,0,0,0,0
,Gila River Indian Community,0,0,0,0
,Hualapai Tribal,,0,0,0
,Yavapai-Apache Nation,0,0,0,0
,Tucson Airport Authority,0,0,0,0
Arkansas,Alexander,0,0,0,0
,Alma,0,0,0,0
,Altus,0,0,0,0
,Amity,0,0,0,0
,Arkadelphia,0,0,0,0
,Ashdown,0,0,0,0
,Ash Flat,0,0,0,0
,Atkins,0,0,0,0
,Augusta,0,0,0,0
,Austin,0,0,0,0
,Bald Knob,0,0,0,0
,Barling,0,0,0,0
,Batesville,0,0,0,0
,Bay,0,0,0,0
,Bearden,0,0,0,0
,Beebe,0,0,0,0
,Bella Vista,0,0,0,0
,Bentonville,0,0,0,0
,Berryville,0,0,0,0
,Bethel Heights,0,0,0,0
,Blytheville,0,0,0,0
,Bono,0,0,0,0
,Booneville,0,0,0,0
,Bradford,0,0,0,0
,Brinkley,0,0,0,0
,Brookland,0,0,0,0
,Bryant,0,0,0,0
,Bull Shoals,0,0,0,0
,Cabot,0,0,0,0
,Caddo Valley,0,0,0,0
,Camden,0,0,0,0
,Cammack Village,0,0,0,0
,Carlisle,0,0,0,0
,Cave Springs,0,0,0,0
,Cedarville,0,0,0,0
,Centerton,0,0,0,0
,Charleston,0,0,0,0
,Cherokee Village,0,0,0,0
,Cherry Valley,0,0,0,0
,Clarksville,0,0,0,0
,Clinton,0,0,0,0
,Corning,0,0,0,0
,Cotter,0,0,0,0
,Crossett,0,0,0,0
,Damascus,0,0,0,0
,Danville,0,0,0,0
,Dardanelle,0,0,0,0
,Decatur,0,0,0,0
,De Queen,0,0,0,0
,Des Arc,0,0,0,0
,DeWitt,0,0,0,0
,Diaz,0,0,0,0
,Dover,0,0,0,0
,Dumas,0,0,0,0
,Earle,0,0,0,0
,El Dorado,0,0,0,0
,Elkins,0,0,0,0
,England,0,0,0,0
,Etowah,0,0,0,0
,Eudora,0,0,0,0
,Eureka Springs,0,0,0,0
,Fairfield Bay,0,0,0,0
,Farmington,0,0,0,0
,Fayetteville,0,0,0,0
,Flippin,0,0,0,0
,Fordyce,0,0,0,0
,Forrest City,0,0,0,0
,Gassville,0,0,0,0
,Gentry,0,0,0,0
,Glenwood,0,0,0,0
,Gosnell,0,0,0,0
